patient_id,canonical_fold,is_internal_test
1001,3,True
1002,0,False
1003,1,False
1004,1,False
1005,2,False
1006,4,False
1007,3,False
1008,2,False
1009,0,False
1010,2,False
1011,4,False
1012,1,False
1013,3,False
1014,3,False
1015,0,False
1016,0,False
1017,0,False
1018,1,False
1019,4,False
1020,1,False
1021,1,False
1022,4,False
1023,4,False
1024,3,False
1025,4,False
1026,0,False
1027,1,False
1028,3,False
1029,4,True
1030,1,False
1031,4,False
1032,2,True
1033,4,False
1034,2,False
1035,4,True
1036,0,False
1037,0,False
1038,0,False
1039,4,False
1040,0,False
1041,3,False
1042,1,False
1043,2,False
1044,2,False
1045,1,False
1046,2,True
1047,3,True
1048,0,False
1049,1,True
1050,4,False
1051,1,False
1052,2,False
1053,4,False
1054,1,False
1055,3,False
1056,2,True
1057,1,False
1059,2,False
1060,2,False
1061,4,False
1062,3,False
1063,3,False
1064,1,True
1065,2,False
1066,3,False
1067,0,False
1068,1,False
1069,4,False
1070,3,False
1071,3,False
1072,1,True
1073,2,False
1074,0,True
1075,4,False
1076,4,False
1077,4,False
1078,1,False
1079,0,False
1080,0,False
1081,0,True
1082,4,False
1083,4,True
1084,3,False
1085,0,False
1086,1,False
1087,3,False
1088,2,False
1089,0,True
1090,3,False
1091,2,False
1092,0,False
1093,4,False
1094,1,False
1095,3,False
1096,2,False
1097,4,False
1098,4,False
1099,1,False
1100,3,False
1101,3,False
1102,3,False
1103,2,False
1104,4,False
1105,4,False
1106,4,False
1107,3,False
1108,1,False
1109,2,False
1110,1,False
1111,2,False
1112,3,False
1113,0,False
1114,4,False
1115,0,False
1116,0,False
1117,1,False
1118,3,False
1119,1,True
1120,4,False
1121,2,False
1122,2,False
1123,0,False
1124,3,False
1125,3,True
1126,3,False
1127,2,False
1128,3,False
1129,3,True
1130,1,False
1131,3,False
1132,0,False
1133,0,False
1134,4,False
1135,2,False
1136,2,False
1137,3,False
1138,3,False
1139,0,False
1140,0,False
1141,2,False
1142,2,False
1143,1,False
1144,1,True
1145,0,False
1146,4,False
1147,3,False
1148,4,True
1149,1,False
1150,2,False
